index,movie_name,year_of_release,category,run_time,genre,imdb_rating,votes,Revenues_in_millions
89,District 9,-2009,R,112,"Action, Sci-Fi, Thriller",8,685403,116
90,The Piano,-1993,R,121,"Drama, Music, Romance",8,89819,40
91,Mystic River,-2003,R,138,"Crime, Drama, Mystery",8,459918,90
92,The Insider,-1999,R,157,"Biography, Drama, Thriller",8,172759,29
93,L.A. Confidential,-1997,R,138,"Crime, Drama, Mystery",8,585555,65
94,Heat,-1995,R,170,"Action, Crime, Drama",8,658033,67
95,The Usual Suspects,-1995,R,106,"Crime, Drama, Mystery",9,1087832,23
96,Cool Hand Luke,-1967,GP,127,"Crime, Drama",8,178888,16
97,Eternal Sunshine of the Spotless Mind,-2004,R,108,"Drama, Romance, Sci-Fi",8,1011004,34
98,City Lights,-1931,G,87,"Comedy, Drama, Romance",9,186059,0
99,The Matrix,-1999,R,136,"Action, Sci-Fi",9,1916083,171
